id,en,zh,info,info_zh
877,Dawn Boots,破曉長靴,Boots of a royal Ljosalfar warrior.,皇家白精靈戰士的長靴.
878,Dawn Armor,破曉盔甲,Chestplate of a royal Ljosalfar knight.,皇家光之精靈騎士的胸甲.
879,Ring of Day,黎明之戒,Ring of the King of Light. It can protect one from having their defenses lowered.,光之王的戒指.戴上它能防止防禦降低.
880,Dawn Hood,破曉兜帽,Hood of a royal Ljosalfar mage.,皇家光之精靈法師的兜帽.
881,Dawnbreaker [bow],破曉者 [bow],A powerful magical greatbow of Ljosalfar royalty. It grants one immunity from burning and blindness.,光之精靈王族的魔法大弓.能賦予持有者免疫於燃燒跟致盲的能力.
882,Dawnbreaker [staff],破曉者 [staff],A powerful magical archstaff of Ljosalfar royalty. It grants one immunity from burning and blindness.,光之精靈王族的強力魔法權杖.賦予持有者免疫於燃燒跟致盲的能力.
883,Dawn Garb,破曉皮甲,Light armor of a royal Ljosalfar warrior.,皇家光之精靈的輕裝甲.
884,Dawn Helmet,破曉頭盔,Helmet of a royal Ljosalfar warrior.,皇家光之精靈戰士的頭盔.
885,Duskbreaker [sword],破暮者 [sword],A powerful magical sword of Dokkalfar royalty. It grants one immunity from blindness and falling asleep in battle.,暗之精靈王族的魔法劍.賦予持有者免疫於致盲跟入睡的能力.
886,Duskbreaker [bow],破暮者 [bow],A powerful magical greatbow of Dokkalfar royalty. It grants one immunity from blindness and falling asleep in battle.,暗之精靈王族的魔法大弓.能賦予持有者免疫於致盲跟入睡的能力.
887,Duskbreaker [staff],破暮者 [staff],A powerful magical archstaff of Dokkalfar royalty. It grants one immunity from blindness and falling asleep in battle.,暗之精靈王族的魔法權杖.賦予持有者免疫於致盲跟入睡的能力.
888,Dusk Cowl,薄暮風帽,Cowl of a royal Dokkalfar assassin. It grants one immunity from blindness and falling asleep in battle.,皇家暗之精靈刺客的風帽.賦予持有者免疫於致盲跟入睡的能力.
889,Dusk Hood,薄暮兜帽,Hood of a royal Dokkalfar mage. It grants one immunity from blindness and falling asleep in battle.,皇家暗之精靈法師的兜帽.賦予持有者免疫於致盲跟入睡的的能力.
890,Dusk Helmet,薄暮頭盔,Helmet of a royal Dokkalfar warrior. It grants one immunity from blindness and falling asleep in battle.,皇家暗之精靈戰士的頭盔.賦予持有者免疫於致盲跟入睡的能力.
891,Dusk Robe,薄暮長袍,Robe of a royal Dokkalfar mage. It grants one immunity from blindness and falling asleep in battle.,皇家暗之精靈法師的法袍.能賦予持有者免疫於致盲跟入睡的能力.
892,Dusk Armor,薄暮盔甲,Armor of a royal Dokkalfar warrior. They grant one immunity from blindness and falling asleep in battle.,皇家暗之精靈戰士的裝甲.賦予持有者免疫於致盲跟入睡的能力.
893,Dusk Garb,薄暮皮甲,Light armor of a royal Dokkalfar warrior. It grants one immunity from blindness and falling asleep in battle.,皇家暗之精靈戰士的輕裝甲.賦予持有者免疫於致盲跟入睡的能力.
894,Dusk Boots,薄暮長靴,Boots of a royal Dokkalfar warrior. They grant one immunity from blindness and falling asleep in battle.,皇家暗之精靈戰士的長靴.能免疫致盲跟入睡.
895,Ring of Dusk,薄暮之戒,Ring of the Queen of Darkness. It provides extra mana to help get through the night.,暗黑女王的戒指.能供應額外的魔力值讓你度過漫長黑夜.
896,Ring of Night,闇夜之戒,Ring of the Queen of Darkness. It can protect one from having their physical or magical prowess decreased.,暗黑女王的戒指.能防止裝備者的物理或魔法攻擊力降低.
897,Dawn Cowl,破曉風帽,Cowl of a royal Ljosalfar assassin.,皇家光之精靈的風帽.
898,Dawn Robe,破曉長袍,Robe of a royal Ljosalfar mage.,皇家光之精靈的法袍.
899,Arisen Wolfbane,重生狼之災,A magical blade representing the unrelenting force of Fenrir the wolf. It can temporarily decrease your opponent's defense upon use.,展現魔狼芬里爾之力的魔法劍.能暫時降低對手的物防.
900,Ebon Top Hat,黑之高帽,"Boy, it is dapper!",潮到出水啦孩子們!
901,Top Hat,高帽子,"Boy, it is dapper!",潮到出水啦孩子們!
902,Presents!,禮物!,Gifts for you and me. Greatly boosts the chance for monsters to drop items.,給你和我的禮物.能大幅提升怪物掉落物品的機率.
903,Fancy Belt,亮麗的腰帶,How could a piece of clothing make one so happy?,為什麼一件衣服就能使人開心呢?
904,Lasting Lantern,持久的燈籠,A special lantern that can attract all sorts of beings.,一盞能吸引各式生物的燈籠。
905,Jolly Stockings,歡樂長襪,Socks of a generous and plump man.,一個慷慨豐滿的男人的襪子。
906,Ebon Jolly Stockings,黑之歡樂長襪,Socks of a generous and plump man.,一個慷慨豐滿的男人的襪子。
907,Reinbow,虹弓,A great hunting bow carried by followers of Scruug.,守財奴史古基追隨者所持有的強力獵弓。
908,Candy Cane,枴杖糖,A vibrant cane carried by followers of Scruug. Some say it is even pleasing to the taste.,史古基的追隨者持有的元氣拐杖糖.有人說味道還不錯.
909,Egg Nog,蛋奶酒,A strange concoction of a lost civilization. Drinking it in battle can add a little spring to your step.,來自遺失文明的神奇調和飲料，在戰鬥中喝下它可使腳步變輕盈。
910,Sleighblade,雪橇刃,A glistening sword carried by followers of Scruug. It is quite chilling to the touch.,守財奴史古基的追隨者攜帶的閃閃發光的劍。摸起來令人寒心。
911,Caroling Lute,聖誕頌琴,A song is best sung with cheer.,最好唱開心點的歌.
912,North Star,北方之星,A crystalline item capable of giving its carrier many temporary status effects.,
913,Ebon North Star,黑之北極星,A crystalline item capable of giving its carrier many temporary effects.,可給予持有者多種暫時增益的水晶。
914,Ebon Reinbow,黑之虹弓,A great hunting bow carried by followers of Scruug.,守財奴史古基追隨者所持有的強力獵弓。
915,Ebon Sleighblade,黑之雪橇刃,A glistening sword carried by followers of Scruug. It is quite chilling to the touch,
916,Ebon Caroling Lute,黑之聖誕頌琴,A song is best sung with cheer.,最好唱開心點的歌.
917,Ebon Candy Cane,黑之拐杖糖,A vibrant cane carried by followers of Scruug.  Some say it is even pleasing to the taste.,
918,Mighty Ensemble,強大的劍盾,Sword and shield pairing of the fabled Mighty Slime.,究極史萊姆持有的劍與盾。
919,Jewel of the End,末日珠寶,A destructive adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,來自毀滅的裝飾品，它能為裝備帶來許多能力提升。
920,Jewel of Sparring,格鬥寶石,A small adornment capable of granting the ability to lower an opponent's attack when adorned upon it.,鑲嵌在裝備上能降低對手攻擊的精巧飾品.
921,Jewel of Growth,成長寶石,A small adornment capable of granting additional experience earned to a piece of equipment when adorned.,鑲嵌在武器上能提升經驗值的小裝飾品.
922,Jewel of Strength,力之寶石,A small adornment capable of increasing the attack power of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升物攻的小飾品.
923,Jewel of Titania,泰坦寶石,A small adornment of the Titans capable of increasing the defenses of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升防禦力的小小泰坦裝飾.
924,Jewel of Arcana,奧術寶石,"A small adornment capable of granting the ability to paralyze, rot, burn, or freeze an opponent to a piece of equipment when adorned.",一種小裝飾品，鑲嵌在裝備上可以獲得麻痺、腐蝕、燃燒或冰凍對手的能力。
925,Mammon's Teardrop,瑪門之淚,A relic of Mammon capable of granting a piece of equipment additional power while occasionally lowering an opponents attack or magical power.,
926,Jewel of Fomoria,弗摩爾寶石,A small adornment of Fomoria capable of increasing the magical defense of a piece of equipment when adorned upon it.,鑲嵌時能提升魔法防禦的弗摩爾族裝飾品.
927,Jewel of Draconia,龍人寶石,A small adornment of Draconia capable of increasing the attack power of a piece of equipment when adorned upon it.,裝飾此德隆尼亞的小飾品可以提升物攻。
928,Jewel of Erosion,腐蝕寶石,A small adornment capable of granting the ability to lower an opponent's magical defenses when adorned upon it.,鑲嵌在裝備上時能有機會降低對手魔防的小飾品.
929,Jewel of Avalon,阿瓦隆寶石,A small adornment of Avalon capable of increasing many attributes of a piece of equipment when adorned upon it.,一個阿瓦隆的小裝飾品，他能夠為裝飾的裝備提升很多種屬性。
930,Assassin's Jewel,刺客寶石,"An adornment of assassins. When Adorned upon a weapon, it grants the chance to inflict damage to an opponent's defenses.",
931,Jewel of Celestria,天降寶石,A small adornment of the stars capable of increasing the magical power of a piece of equipment when adorned upon it.,鑲嵌在裝備上時能提升魔攻的星星裝飾品.
932,Jewel of Pale,淡白寶石,A small adornment of Balor capable of increasing the dexterity and Ward of a piece of equipment when adorned upon it.,鑲嵌在裝備上石能提升敏捷和護盾的精巧巴羅爾裝飾品.
933,Arisen Boots,重生的長靴,"Boots worn by rogues of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的俠盜所穿的長靴.
934,Arisen Shoes,重生之鞋,"Shoes worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的追隨者所穿的鞋子.
935,Arisen Shield,重生之盾,"A heavy shield carried by knights of Mammon, the demon of hubris. It grants one immunity to being cursed.",
936,Arisen Kaladanda,重生閻摩魔杖,"Staff of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的法杖.
937,Arisen Robe,重生法袍,"Robe worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔瑪門的追隨者所穿的法袍.
938,Arisen Hood,重生兜帽,"Hood worn by acolytes of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的追隨者所穿的兜帽.
939,Arisen Helmet,重生頭盔,"Helmet worn by knights of Mammon, the demon of hubris.",所屬於傲慢的惡魔-瑪門的騎士所戴的頭盔.
940,Arisen Greaves,重生護脛,"Leggings worn by knights of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的騎士所穿的腿甲.
941,Arisen Armor,重生盔甲,"Heavy armor worn by knights of Mammon, the demon of hubris.",所屬於傲慢的惡魔瑪門的騎士所穿的重裝甲.
942,Arisen Garb,重生皮甲,"Light armor worn by rogues of Mammon, the demon of hubris",
943,Arisen Labrys,重生雙頭斧,"Axe of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的大斧.
944,Jewel of Opportunity,機會寶石,A small adornment capable of increasing the critical attack rate of a weapon when adorned upon it.,鑲嵌在裝備上能提升爆擊率的精巧飾品.
945,Jewel of Mana,瑪那寶石,A small adornment capable of increasing the mana granted by a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升魔力值的小飾品.
946,Immortal Garb,不朽皮甲,Light armor of an Immortal warrior. The Immortals are warriors of a great fallen Empire. Their equipment can prevent one from losing their sight.,不朽戰士的輕裝甲.不朽者是來自偉大墮落帝國的戰士.他們的裝備能防止持有者失去目光.
947,Immortal Hood,不朽兜帽,Hood of an Immortal mage. The Immortals are warriors of a great fallen Empire. Their equipment can prevent one from losing their sight.,不朽法師的兜帽.不朽者是來自偉大墮落帝國的戰士.他們的裝備能防止持有者失去目光.
948,Immortal Robe,不朽法袍,Robe of an Immortal mage. The Immortals are warriors of a great fallen Empire. Their equipment can prevent one from losing their sight.,不朽法師的法袍.不朽者是來自偉大墮落帝國的戰士.他們的裝備能防止持有者失去目光.
949,Satis Antlers,薩蒂斯鹿角盔,"This unique headwear does not offer much protection, but is well suited for adornment.",這個獨特的頭飾無法提供太多的保護，但它很適合鑲嵌。
950,Great Antlers,強大的鹿角,"This unique headwear does not offer much protection, but is well suited for adornment.",這個獨特的頭飾無法提供太多的保護，但它很適合鑲嵌。
951,Immortal Katana,不朽武士刀,The blade of an ageless warrior. It may pierce the defenses of an opponent.,一位永生戰士的劍刃。它可以刺穿對手的防禦。
952,Jewel of Defense,物抗寶石,A small adornment capable of increasing the defense power of piece of equipment when adorned upon it.,
953,Jewel of Speed,速之寶石,A small adornment capable of increasing the dexterity of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升敏捷的小飾品.
954,Jewel of Wisdom,智慧寶石,A small adornment capable of increasing the magic power of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升魔攻的小飾品.
955,Arisen Teardrop,重生瑪門之淚,A relic of Mammon capable of granting a piece of equipment additional power while occasionally lowering an opponent's attack and magical powers.,
956,Orange Pinion,橙橘羽毛,A fallen Feather of the great Phoenix. It can grant a weapon additional attributes when adorned upon it.,
957,Jewel of Attrition,削弱寶石,A small adornment capable of granting the ability to lower an opponent's defenses when adorned upon it.,鑲嵌時能給予對手物理防禦降低的小裝飾品.
958,Immortal's Ring,不朽之戒,An ageless ring of an Immortal Lord. It grants additional life at the expense of other stats.,不朽領主的永恆之戒.提升持有者的生命值但會降低其他的屬性.
959,Immortal's Jewel,不朽寶石,An adornment capable of increasing the HP granted by a piece of equipment when adorned upon it.,鑲嵌上去能提升生命值的裝飾品.
960,Immortal Boots,不朽長靴,Boots of an Immortal warrior. The Immortals are warriors of a great fallen Empire. Their equipment can prevent one from losing their sight.,不朽戰士的長靴.不朽者是來自偉大墮落帝國的戰士.他們的裝備能防止持有者失去目光.
961,Phoenixsong,鳳曲,"A decorated flute often used to lull the great Phoenix. Although it seemingly has little power, it is well suited for adornment.","常用於歌頌偉大鳳凰的華美長笛.雖然看起來很脆弱,但很適合鑲嵌裝飾品."
962,High Phoenician Helmet,高級鳳凰頭盔,Helmet of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭盔.
963,Great Phoenician Hood,強大的鳳凰兜帽,Hood of a worshipper of the mighty Phoenix.,鳳凰敬拜者的兜帽。
964,Great Phoenician Helmet,強大鳳凰頭盔,Helmet of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭盔.
965,Phoenician Hood,鳳凰兜帽,Hood of a worshipper of the mighty Phoenix.,鳳凰敬拜者的兜帽。
966,High Phoenician Cowl,高級鳳凰風帽,Headwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭帽.
967,High Phoenician Hood,高級鳳凰兜帽,Hood of a worshipper of the mighty Phoenix.,鳳凰敬拜者的兜帽。
968,Phoenician Cowl,鳳凰風帽,Headwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭帽.
969,Phoenician Helmet,鳳凰頭盔,Helmet of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭盔.
970,Great Phoenician Cowl,強大的鳳凰風帽,Headwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的頭帽.
971,High Phoenician Cuirass,高級鳳凰胸甲,Heavy armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的盔甲.
972,Phoenician Robe,鳳凰法袍,Robe of a worshipper of the mighty Phoenix.,鳳凰敬拜者的法袍.
973,Great Phoenician Robe,強大的鳳凰法袍,Robe of a worshipper of the mighty Phoenix.,鳳凰敬拜者的法袍.
974,Phoenician Garb,鳳凰皮甲,Light armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的輕裝甲.
975,Phoenician Cuirass,鳳凰胸甲,Heavy armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的盔甲.
976,Great Phoenician Cuirass,強大鳳凰胸甲,Heavy armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的盔甲.
977,High Phoenician Garb,高級鳳凰皮甲,Light armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的輕裝甲.
978,Great Phoenician Shield,強大的鳳凰盾,Decorated shield of a worshipper of the mighty Phoenix. It protects one from being blinded or lit ablaze.,鳳凰敬拜者的華麗盾牌.可以防止持有者被致盲或焚燒.
979,Phoenician Shield,鳳凰的盾,Decorated shield of a worshipper of the mighty Phoenix. It protects one from being blinded or lit ablaze.,鳳凰敬拜者的華麗盾牌.可以防止持有者被致盲或焚燒.
980,High Phoenician Shield,高級鳳凰的盾,Decorated shield of a worshipper of the mighty Phoenix. It protects one from being blinded or lit ablaze.,鳳凰敬拜者的華麗盾牌.可以防止持有者被致盲或焚燒.
981,Phoenician Shoes,鳳凰的鞋,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
982,High Phoenician Boots,高級鳳凰長靴,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
983,Phoenician Boots,鳳凰長靴,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
984,Great Phoenician Shoes,強大鳳凰的鞋,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
985,Great Phoenician Boots,強大的鳳凰長靴,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
986,Great Phoenician Greaves,強大的鳳凰護脛,Heavy leg armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲.
987,Phoenician Greaves,鳳凰護脛,Heavy leg armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲.
988,High Phoenician Shoes,高級鳳凰的鞋,Footwear of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲。
989,High Phoenician Greaves,高級鳳凰護脛,Heavy leg armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的腿甲.
990,Red Pinion,紅羽毛,A fallen feather of the great Phoenix. It can grant a piece of armor additional attributes when adorned upon it.,強大鳳凰落下的羽毛.鑲嵌在防具上時能提供額外的屬性.
991,Arisen Cowl,重生風帽,"Cowl worn by rogues of Mammon, the demon of hubris.",傲慢的惡魔-瑪門的俠盜所戴的風帽.
992,Arisen Gandring,重生甘德林,"Daggers carried by Mammon, the demon of hubris.",傲慢的惡魔-瑪門所持的匕首.
993,Immortal Hat,不朽帽子,Infamous headwear of an Immortal warrior. The Immortals are warriors of a great fallen Empire. Their equipment can prevent one from losing their sight.,不朽戰士的頭帽.不朽者是來自偉大墮落帝國的戰士.他們的裝備能防止持有者失去目光.
994,Jewel of Silencing,沉默寶石,A small adornment capable of granting a weapon the ability to lower an opponent's magic power when adorned upon it.,鑲嵌在武器上能有機會使對手魔法能力降低的小裝飾品.
995,Great Phoenician Garb,強大的鳳凰皮甲,Light armor of a worshipper of the mighty Phoenix.,鳳凰敬拜者的輕裝甲.
996,Great Phoenixsong,強大的鳳曲,"A decorated flute often used to lull the great Phoenix. Although it seemingly has little power, it is well suited for adornment.","常用於歌頌偉大鳳凰的華美長笛.雖然看起來很脆弱,但很適合鑲嵌裝飾品."
997,High Phoenixsong,高級鳳曲,"A decorated flute often used to lull the great Phoenix. Although it seemingly has little power, it is well suited for adornment.","常用於歌頌偉大鳳凰的華美長笛.雖然看起來很脆弱,但很適合鑲嵌裝飾品."
998,Jewel of Storma,暴風寶石,A small adornment capable of granting the ability to paralyze an opponent to a piece of equipment when adorned.,鑲嵌在裝備上時能造成對手麻痺的精巧飾品.
999,Antlers,鹿角盔,"This unique headwear does not offer much protection, but is well suited for adornment.",這個獨特的頭飾無法提供太多的保護，但它很適合鑲嵌。
1000,Adamantine Amulet,精金護身符,A rare platinum amulet. Raises attack power.,罕見的白金護身符.能提升物理攻擊力.
1001,High Phoenician Robe,高級鳳凰法袍,Robe of a worshipper of the mighty Phoenix.,鳳凰敬拜者的法袍.
1002,Lesser Jewel of Resistance,低階魔防寶石,A small adornment capable of increasing the magic defense of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升魔防的小飾品.
1003,Lesser Jewel of Strength,低階力量寶石,A small adornment capable of increasing the attack power of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升物攻的小飾品.
1004,Jewel of Fira,焰之寶石,A small adornment capable of granting the ability to burn an opponent to a piece of equipment when adorned.,鑲嵌在裝備上能使人燃燒的精巧飾品.
1005,Jewel of Aqua,阿庫亞之珠,A small adornment capable of granting the ability to freeze an opponent when adorned.,
1006,Jewel of Ward,護盾寶石,A small adornment capable of increasing the Ward provided by a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升護盾的精巧裝飾品.
1007,Lesser Jewel of Wisdom,低階智慧寶石,A small adornment capable of increasing the magic power of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升魔攻的小飾品.
1008,Lesser Jewel of Speed,低階速度寶石,A small adornment capable of increasing the dexterity of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升敏捷的小飾品.
1009,Lesser Jewel of Defense,低階物防寶石,A small adornment capable of increasing the defense of a piece of equipment when adorned upon it.,
1010,Lesser Jewel of Health,低階生命寶石,A small adornment capable of increasing the HP granted by a piece of equipment when adorned upon it.,一個小裝飾品，當鑲嵌在裝備上可以增加生命值。
1011,Jewel of Natura,大自然的寶玉,A small adornment capable of granting the ability to rot an opponent to a piece of equipment when adorned.,鑲嵌在裝備上時能賦予使敵人陷入腐爛狀態的能力.
1012,Apprentice Robe,學徒法袍,Robe worn by a talented student of magic.,有才華的魔法師學生穿的法袍.
1013,Simple Hood,簡易兜帽,A simple mage's hood.,簡單的法師兜帽.
1014,Steel Armor,鋼之盔,Armor made of hard steel.,硬鋼製成的盔甲。
1015,Steel Leggings,鋼質腿甲,Armor made of hard steel.,硬鋼製成的盔甲。
1017,Succubus Mantle,魅魔披風,"Crude armor made of the remains of a succubus. Does not offer much defense, but raises your dexterity.",魅魔殘骸製成的粗糙盔甲，只提供少量的物防，但可以增加敏捷。
1018,Kerberos Greatsword,刻耳柏洛斯巨劍,"Mighty sword, representative of the relentless Kerberos.",代表無情刻耳柏洛斯的強力之劍。
1019,Kerberos Archistaff,刻耳柏洛斯權杖,"Mighty staff, representative of the relentless Kerberos.",刻耳柏洛斯代表性的法杖.
1020,Sharpened Kerberos Claws,尖銳的刻耳柏洛斯之爪,"Sharp, jagged blades forged of the mighty claws of Kerberos. They can cause an opponent to bleed or become frozen.",由刻耳柏洛斯那尖銳、強大、鋒利如刃的爪所製成。攻擊有機會造成流血及冰凍狀態。
1021,Pale Eye of Kerberos,蒼灰色的刻耳柏洛斯之眼,Crystallized eye of the icy Kerberos. It can grant a weapon additional properties when adorned upon it.,
1022,Wolven Tower Shield,狼塔盾,A gigantic shield often used to protect one from the wildest of wolves. It offers additional defense at the expense of power.,保護持有者免受野狼群侵害的巨大盾牌，它會犧牲攻擊力以換取額外的物防。
1023,Kerberos Veil,刻耳柏洛斯面罩,A durable hood forged of the remains of the relentless Kerberos. It protects it wearer from becoming frozen.,
1024,Plagued Greaves,瘟疫護脛,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1025,Cursed Ortanite,詛咒的歐坦尼,,
1026,Banshee Veil,報喪女妖面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1027,Badb Catha,芭德布渡鴉,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1028,Macha Pillar,瑪查支柱,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1029,Neman Havoc,妮潘凶禍,"Cursed greatsword of Neman, sister to Morrigan. It can grant one additional attack power while having the adverse effect on an opponent.",摩莉甘的姊妹-妮潘的詛咒長劍.提升持有者物理攻擊力的同時對敵人造成相對的影響.
1030,Raven Boots,渡鴉長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1031,Raven Veil,渡鴉面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1032,Raven Garb,渡鴉皮甲,"Cursed light armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒輕裝甲.
1033,Plagued Cuirass,瘟疫胸甲,"Cursed heavy armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒重裝甲.
1034,Plagued Helmet,瘟疫頭盔,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1035,Banshee Boots,報喪女妖長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1036,Banshee Robe,報喪女妖法袍,"Cursed robe of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒法袍.
1037,Morrigan's Scroll,摩莉甘的卷軸,"A scroll containing knowledge of the most vile of arts. It improves one's magic and mana at the sacrifice of Ward, while adding a chance to greatly diminish an opponent's resistance to spells.","滿載卑鄙美學知識的卷軸.藉由犧牲護盾來提升持有者的魔力及魔力值,並有機會大幅降低對手的魔法防禦力."
1038,Eye of the Morrigan,摩莉甘之眼,A decaying adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,鑲嵌在裝備上能提升很多屬性的小裝飾品.
1039,Realm Katar,域界卡塔拉,"A strange side-arm once carried by Apollyon until pilfered by Morrigan. It doesn't offer much in terms of power, but its indentations are well suited for adornments.",
1040,Fey Raven Garb,變異渡鴉皮甲,"Cursed light armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒輕裝甲.
1041,Fey Banshee Boots,變異報喪女妖長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1042,Fey Neman Havoc,變異妮潘凶禍,"Cursed greatsword of Neman, sister to Morrigan. It can grant one additional attack power while having the adverse effect on an opponent.",摩莉甘的姊妹-妮潘的詛咒長劍.提升持有者物理攻擊力的同時對敵人造成相對的影響.
1043,Fey Banshee Robe,變異報喪女妖法袍,"Cursed robe of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒法袍.
1044,Fey Raven Veil,變異渡鴉面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1045,Fey Plagued Cuirass,變異瘟疫胸甲,"Cursed heavy armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒重裝甲.
1046,Fey Plagued Helmet,變異瘟疫頭盔,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1047,Fey Badb Catha,變異芭德布渡鴉,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1048,Fey Banshee Veil,變異報喪女妖面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1049,Fey Macha Pillar,變異瑪查支柱,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1050,Fey Plagued Greaves,變異瘟疫護脛,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1051,Fey Raven Boots,變異渡鴉長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1052,Smelly Shoes,惡臭鞋子,"Foul shoes worn by the fairy Naggeneen. Oddly, they can protect their wearer from poison and blight.",矮妖納根因所穿的臭鞋子.怪的是它可以防止中毒跟枯萎.
1053,Fairy's Scroll,仙女的卷軸,A worn scroll often carried by a clurichaun. It increases both mana potential and dexterity at the sacrifice of Ward.,小妖精持有的破舊卷軸，它會犧牲護盾以增加魔力值及敏捷。
1054,Crowsong,渡鴉葬歌,Cursed lute player by the sisters of Morrigan. It can grant one additional defenses while having the adverse effect on an opponent.,
1055,Fey Crowsong,變異渡鴉葬歌,Cursed lute played by the sisters of Morrigan. It can grant one additional defenses while having the adverse effect on an opponent.,摩莉甘的姊妹們使用的詛咒魯特琴.提升物理防禦的同時也能對敵人造成相對的影響.
1056,Ambrosia,神之食,The brew of a terrible witch. It restores a moderate amount of HP and Mana while curing any negative status effects.,恐怖的女巫所釀的酒.能大幅回復生命值和魔力值並解除對身體素質的負面影響.
1057,Great Lizarr Armor,強大蜥蜴人盔甲,Armor of a Lizarr warrior.,蜥蜴人戰士的盔甲.
